Time;pod;Value;
2022-04-07 11:06:01;user-service-647d47cd4-wnnf4;493.92 MB;
2022-04-07 11:05:31;user-service-647d47cd4-wnnf4;493.92 MB;
2022-04-07 11:25:31;user-service-647d47cd4-wnnf4;493.83 MB;
2022-04-07 11:19:01;user-service-647d47cd4-wnnf4;493.82 MB;
2022-04-07 11:24:01;user-service-647d47cd4-wnnf4;493.82 MB;
2022-04-07 11:23:31;user-service-647d47cd4-wnnf4;493.68 MB;
2022-04-07 11:23:01;user-service-647d47cd4-wnnf4;493.68 MB;
2022-04-07 11:22:31;user-service-647d47cd4-wnnf4;493.68 MB;
2022-04-07 11:22:01;user-service-647d47cd4-wnnf4;493.68 MB;
2022-04-07 09:45:31;user-service-647d47cd4-wnnf4;493.04 MB;
2022-04-07 09:45:01;user-service-647d47cd4-wnnf4;493.04 MB;
2022-04-07 09:44:31;user-service-647d47cd4-wnnf4;493.04 MB;
2022-04-07 09:40:01;user-service-647d47cd4-wnnf4;491.14 MB;
2022-04-07 09:39:31;user-service-647d47cd4-wnnf4;491.14 MB;
2022-04-07 09:35:01;user-service-647d47cd4-wnnf4;490.70 MB;
2022-04-07 09:34:31;user-service-647d47cd4-wnnf4;490.70 MB;
2022-04-07 09:34:01;user-service-647d47cd4-wnnf4;490.70 MB;
2022-04-07 09:33:31;user-service-647d47cd4-wnnf4;490.70 MB;
2022-04-07 09:36:01;user-service-647d47cd4-wnnf4;486.90 MB;
2022-04-07 09:35:31;user-service-647d47cd4-wnnf4;486.90 MB;
2022-04-07 10:11:01;user-service-647d47cd4-wnnf4;258.60 MB;
2022-04-07 10:01:31;user-service-647d47cd4-wnnf4;252.89 MB;
2022-04-07 10:01:01;user-service-647d47cd4-wnnf4;252.89 MB;
2022-04-07 10:00:31;user-service-647d47cd4-wnnf4;252.89 MB;
2022-04-07 10:02:31;user-service-647d47cd4-wnnf4;252.27 MB;
2022-04-07 10:09:01;user-service-647d47cd4-wnnf4;251.48 MB;
2022-04-07 10:08:31;user-service-647d47cd4-wnnf4;251.48 MB;
2022-04-07 10:08:01;user-service-647d47cd4-wnnf4;251.48 MB;
2022-04-07 10:24:01;user-service-647d47cd4-wnnf4;251.37 MB;
2022-04-07 10:16:31;user-service-647d47cd4-wnnf4;251.34 MB;
2022-04-07 09:30:01;user-service-647d47cd4-wnnf4;251.33 MB;
2022-04-07 10:18:31;user-service-647d47cd4-wnnf4;250.89 MB;
2022-04-07 10:18:01;user-service-647d47cd4-wnnf4;250.89 MB;
2022-04-07 09:54:01;user-service-647d47cd4-wnnf4;250.77 MB;
2022-04-07 09:53:31;user-service-647d47cd4-wnnf4;250.77 MB;
2022-04-07 10:50:01;user-service-647d47cd4-wnnf4;250.54 MB;
2022-04-07 10:49:31;user-service-647d47cd4-wnnf4;250.54 MB;
2022-04-07 10:46:01;user-service-647d47cd4-wnnf4;250.52 MB;
2022-04-07 10:32:31;user-service-647d47cd4-wnnf4;250.52 MB;
2022-04-07 10:32:01;user-service-647d47cd4-wnnf4;250.52 MB;
2022-04-07 10:31:31;user-service-647d47cd4-wnnf4;250.52 MB;
2022-04-07 10:52:31;user-service-647d47cd4-wnnf4;250.14 MB;
2022-04-07 10:52:01;user-service-647d47cd4-wnnf4;250.14 MB;
2022-04-07 10:51:31;user-service-647d47cd4-wnnf4;250.14 MB;
2022-04-07 09:47:01;user-service-647d47cd4-wnnf4;249.81 MB;
2022-04-07 09:46:31;user-service-647d47cd4-wnnf4;249.81 MB;
2022-04-07 09:46:01;user-service-647d47cd4-wnnf4;249.81 MB;
2022-04-07 10:34:31;user-service-647d47cd4-wnnf4;249.65 MB;
2022-04-07 10:58:01;user-service-647d47cd4-wnnf4;248.93 MB;
2022-04-07 10:55:31;user-service-647d47cd4-wnnf4;248.84 MB;
2022-04-07 11:40:01;user-service-647d47cd4-wnnf4;247.58 MB;
2022-04-07 11:39:31;user-service-647d47cd4-wnnf4;247.58 MB;
2022-04-07 11:10:31;user-service-647d47cd4-wnnf4;247.54 MB;
2022-04-07 11:31:01;user-service-647d47cd4-wnnf4;247.54 MB;
2022-04-07 11:04:31;user-service-647d47cd4-wnnf4;247.46 MB;
2022-04-07 11:04:01;user-service-647d47cd4-wnnf4;247.46 MB;
2022-04-07 11:03:31;user-service-647d47cd4-wnnf4;247.46 MB;
2022-04-07 11:30:31;user-service-647d47cd4-wnnf4;247.22 MB;
2022-04-07 11:18:31;user-service-647d47cd4-wnnf4;247.04 MB;
2022-04-07 11:18:01;user-service-647d47cd4-wnnf4;247.04 MB;
2022-04-07 11:17:31;user-service-647d47cd4-wnnf4;247.04 MB;
2022-04-07 11:17:01;user-service-647d47cd4-wnnf4;247.04 MB;
2022-04-07 11:16:31;user-service-647d47cd4-wnnf4;246.98 MB;
2022-04-07 11:16:01;user-service-647d47cd4-wnnf4;246.98 MB;
2022-04-07 11:25:01;user-service-647d47cd4-wnnf4;246.92 MB;
2022-04-07 11:24:31;user-service-647d47cd4-wnnf4;246.92 MB;
2022-04-07 09:40:31;user-service-647d47cd4-wnnf4;246.46 MB;
2022-04-07 09:39:01;user-service-647d47cd4-wnnf4;244.69 MB;
2022-04-07 09:38:31;user-service-647d47cd4-wnnf4;244.69 MB;
2022-04-07 09:38:01;user-service-647d47cd4-wnnf4;244.69 MB;
2022-04-07 09:37:31;user-service-647d47cd4-wnnf4;244.69 MB;
2022-04-07 09:37:01;user-service-647d47cd4-wnnf4;244.69 MB;
2022-04-07 09:36:31;user-service-647d47cd4-wnnf4;244.69 MB;
