Time;pod;Value;
2022-04-07 10:31:31;catalog-service-5df84bc88c-k8v9q;764.51 MB;
2022-04-07 10:31:01;catalog-service-5df84bc88c-k8v9q;764.51 MB;
2022-04-07 10:30:31;catalog-service-5df84bc88c-k8v9q;509.89 MB;
2022-04-07 10:30:01;catalog-service-5df84bc88c-k8v9q;509.64 MB;
2022-04-07 10:29:31;catalog-service-5df84bc88c-k8v9q;509.64 MB;
2022-04-07 10:29:01;catalog-service-5df84bc88c-k8v9q;509.64 MB;
2022-04-07 10:28:31;catalog-service-5df84bc88c-k8v9q;509.64 MB;
2022-04-07 10:28:01;catalog-service-5df84bc88c-k8v9q;509.64 MB;
2022-04-07 10:27:31;catalog-service-5df84bc88c-k8v9q;763.97 MB;
2022-04-07 10:27:01;catalog-service-5df84bc88c-k8v9q;763.97 MB;
2022-04-07 10:26:31;catalog-service-5df84bc88c-k8v9q;508.99 MB;
2022-04-07 10:26:01;catalog-service-5df84bc88c-k8v9q;508.99 MB;
2022-04-07 10:25:31;catalog-service-5df84bc88c-k8v9q;508.99 MB;
2022-04-07 10:25:01;catalog-service-5df84bc88c-k8v9q;254.33 MB;
2022-04-07 10:24:31;catalog-service-5df84bc88c-k8v9q;254.33 MB;
2022-04-07 10:24:01;catalog-service-5df84bc88c-k8v9q;508.35 MB;
2022-04-07 10:23:31;catalog-service-5df84bc88c-k8v9q;508.35 MB;
2022-04-07 10:23:01;catalog-service-5df84bc88c-k8v9q;508.35 MB;
2022-04-07 10:22:31;catalog-service-5df84bc88c-k8v9q;254.02 MB;
2022-04-07 10:22:01;catalog-service-5df84bc88c-k8v9q;254.02 MB;
2022-04-07 10:21:31;catalog-service-5df84bc88c-k8v9q;508.67 MB;
2022-04-07 10:21:01;catalog-service-5df84bc88c-k8v9q;508.67 MB;
2022-04-07 10:20:31;catalog-service-5df84bc88c-k8v9q;763.30 MB;
2022-04-07 10:20:01;catalog-service-5df84bc88c-k8v9q;763.30 MB;
2022-04-07 10:19:31;catalog-service-5df84bc88c-k8v9q;763.30 MB;
2022-04-07 10:19:01;catalog-service-5df84bc88c-k8v9q;509.28 MB;
2022-04-07 10:18:31;catalog-service-5df84bc88c-k8v9q;509.28 MB;
2022-04-07 10:18:01;catalog-service-5df84bc88c-k8v9q;509.28 MB;
2022-04-07 10:17:31;catalog-service-5df84bc88c-k8v9q;509.28 MB;
2022-04-07 10:17:01;catalog-service-5df84bc88c-k8v9q;509.28 MB;
2022-04-07 10:16:31;catalog-service-5df84bc88c-k8v9q;254.62 MB;
2022-04-07 10:16:01;catalog-service-5df84bc88c-k8v9q;254.62 MB;
2022-04-07 10:15:31;catalog-service-5df84bc88c-k8v9q;255.35 MB;
2022-04-07 10:15:01;catalog-service-5df84bc88c-k8v9q;255.35 MB;
2022-04-07 10:14:31;catalog-service-5df84bc88c-k8v9q;511.15 MB;
2022-04-07 10:14:01;catalog-service-5df84bc88c-k8v9q;511.15 MB;
2022-04-07 10:13:31;catalog-service-5df84bc88c-k8v9q;511.15 MB;
2022-04-07 10:13:01;catalog-service-5df84bc88c-k8v9q;511.15 MB;
2022-04-07 10:12:31;catalog-service-5df84bc88c-k8v9q;511.15 MB;
2022-04-07 10:12:01;catalog-service-5df84bc88c-k8v9q;766.32 MB;
2022-04-07 10:11:31;catalog-service-5df84bc88c-k8v9q;766.32 MB;
2022-04-07 10:11:01;catalog-service-5df84bc88c-k8v9q;766.32 MB;
2022-04-07 10:10:31;catalog-service-5df84bc88c-k8v9q;510.97 MB;
2022-04-07 10:10:01;catalog-service-5df84bc88c-k8v9q;766.25 MB;
2022-04-07 10:09:31;catalog-service-5df84bc88c-k8v9q;510.45 MB;
2022-04-07 10:09:01;catalog-service-5df84bc88c-k8v9q;510.45 MB;
2022-04-07 10:08:31;catalog-service-5df84bc88c-k8v9q;510.45 MB;
2022-04-07 10:08:01;catalog-service-5df84bc88c-k8v9q;510.45 MB;
2022-04-07 10:07:31;catalog-service-5df84bc88c-k8v9q;767.82 MB;
2022-04-07 10:07:01;catalog-service-5df84bc88c-k8v9q;512.64 MB;
2022-04-07 10:06:31;catalog-service-5df84bc88c-k8v9q;512.64 MB;
2022-04-07 10:06:01;catalog-service-5df84bc88c-k8v9q;512.64 MB;
2022-04-07 10:05:31;catalog-service-5df84bc88c-k8v9q;512.64 MB;
2022-04-07 10:05:01;catalog-service-5df84bc88c-k8v9q;514.77 MB;
2022-04-07 10:04:31;catalog-service-5df84bc88c-k8v9q;514.77 MB;
2022-04-07 10:04:01;catalog-service-5df84bc88c-k8v9q;771.72 MB;
2022-04-07 10:03:31;catalog-service-5df84bc88c-k8v9q;771.72 MB;
2022-04-07 10:03:01;catalog-service-5df84bc88c-k8v9q;771.72 MB;
2022-04-07 10:02:31;catalog-service-5df84bc88c-k8v9q;514.35 MB;
2022-04-07 10:02:01;catalog-service-5df84bc88c-k8v9q;514.35 MB;
2022-04-07 10:01:31;catalog-service-5df84bc88c-k8v9q;514.35 MB;
2022-04-07 10:01:01;catalog-service-5df84bc88c-k8v9q;514.35 MB;
2022-04-07 10:00:31;catalog-service-5df84bc88c-k8v9q;514.35 MB;
2022-04-07 10:00:01;catalog-service-5df84bc88c-k8v9q;256.95 MB;
2022-04-07 09:59:31;catalog-service-5df84bc88c-k8v9q;256.95 MB;
2022-04-07 09:59:01;catalog-service-5df84bc88c-k8v9q;256.98 MB;
2022-04-07 09:58:31;catalog-service-5df84bc88c-k8v9q;771.19 MB;
2022-04-07 09:58:01;catalog-service-5df84bc88c-k8v9q;771.19 MB;
2022-04-07 09:57:31;catalog-service-5df84bc88c-k8v9q;771.19 MB;
2022-04-07 09:57:01;catalog-service-5df84bc88c-k8v9q;771.19 MB;
2022-04-07 09:56:31;catalog-service-5df84bc88c-k8v9q;771.19 MB;
2022-04-07 09:56:01;catalog-service-5df84bc88c-k8v9q;771.19 MB;
2022-04-07 09:55:31;catalog-service-5df84bc88c-k8v9q;771.19 MB;
2022-04-07 09:55:01;catalog-service-5df84bc88c-k8v9q;771.19 MB;
2022-04-07 09:54:31;catalog-service-5df84bc88c-k8v9q;771.19 MB;
2022-04-07 09:54:01;catalog-service-5df84bc88c-k8v9q;514.21 MB;
2022-04-07 09:53:31;catalog-service-5df84bc88c-k8v9q;257.06 MB;
2022-04-07 09:53:01;catalog-service-5df84bc88c-k8v9q;514.17 MB;
2022-04-07 09:52:31;catalog-service-5df84bc88c-k8v9q;514.17 MB;
2022-04-07 09:52:01;catalog-service-5df84bc88c-k8v9q;514.17 MB;
2022-04-07 09:51:31;catalog-service-5df84bc88c-k8v9q;514.17 MB;
2022-04-07 09:51:01;catalog-service-5df84bc88c-k8v9q;770.60 MB;
2022-04-07 09:50:31;catalog-service-5df84bc88c-k8v9q;770.60 MB;
2022-04-07 09:50:01;catalog-service-5df84bc88c-k8v9q;770.60 MB;
