Time;pod;Value;
2022-04-07 10:36:01;pay-service-d95678cb4-blpv7;265.53;
2022-04-07 10:35:31;pay-service-d95678cb4-blpv7;265.53;
2022-04-07 10:35:01;pay-service-d95678cb4-blpv7;265.53;
2022-04-07 10:34:31;pay-service-d95678cb4-blpv7;795.55;
2022-04-07 10:34:01;pay-service-d95678cb4-blpv7;795.55;
2022-04-07 10:33:31;pay-service-d95678cb4-blpv7;795.55;
2022-04-07 10:33:01;pay-service-d95678cb4-blpv7;530.02;
2022-04-07 10:32:31;pay-service-d95678cb4-blpv7;530.02;
2022-04-07 10:32:01;pay-service-d95678cb4-blpv7;530.02;
2022-04-07 10:31:31;pay-service-d95678cb4-blpv7;530.02;
2022-04-07 10:31:01;pay-service-d95678cb4-blpv7;530.02;
2022-04-07 10:30:31;pay-service-d95678cb4-blpv7;530.02;
2022-04-07 10:30:01;pay-service-d95678cb4-blpv7;530.02;
2022-04-07 10:29:31;pay-service-d95678cb4-blpv7;263.70;
2022-04-07 10:29:01;pay-service-d95678cb4-blpv7;527.11;
2022-04-07 10:28:31;pay-service-d95678cb4-blpv7;263.70;
2022-04-07 10:28:01;pay-service-d95678cb4-blpv7;527.11;
2022-04-07 10:27:31;pay-service-d95678cb4-blpv7;527.11;
2022-04-07 10:27:01;pay-service-d95678cb4-blpv7;527.11;
2022-04-07 10:26:31;pay-service-d95678cb4-blpv7;527.11;
2022-04-07 10:26:01;pay-service-d95678cb4-blpv7;527.11;
2022-04-07 10:25:31;pay-service-d95678cb4-blpv7;790.66;
2022-04-07 10:25:01;pay-service-d95678cb4-blpv7;790.66;
2022-04-07 10:24:31;pay-service-d95678cb4-blpv7;790.66;
2022-04-07 10:24:01;pay-service-d95678cb4-blpv7;790.66;
2022-04-07 10:23:31;pay-service-d95678cb4-blpv7;526.95;
2022-04-07 10:23:01;pay-service-d95678cb4-blpv7;263.55;
2022-04-07 10:22:31;pay-service-d95678cb4-blpv7;263.55;
2022-04-07 10:22:01;pay-service-d95678cb4-blpv7;263.55;
2022-04-07 10:21:31;pay-service-d95678cb4-blpv7;526.41;
2022-04-07 10:21:01;pay-service-d95678cb4-blpv7;526.41;
2022-04-07 10:20:31;pay-service-d95678cb4-blpv7;262.86;
2022-04-07 10:20:01;pay-service-d95678cb4-blpv7;262.86;
2022-04-07 10:19:31;pay-service-d95678cb4-blpv7;788.25;
2022-04-07 10:19:01;pay-service-d95678cb4-blpv7;788.25;
2022-04-07 10:18:31;pay-service-d95678cb4-blpv7;788.25;
2022-04-07 10:18:01;pay-service-d95678cb4-blpv7;788.25;
